1:	1
224, 68, 391, 265, 471, 396, 223:	-1162202.667251621, 3088022.094719062, -345274.99118255195, -202662.75342814048, -415719.82654504373, -181507.4406021136, -780654.4157095916
225, 226, 69, 266, 397, 463:	-541501.4317346875, -749885.4980705273, 3241332.8578243083, -96428.93226910304, -585153.53923211, -1268363.4565178803
371, 228, 453, 70, 343, 291, 227, 267:	-67.94792023034749, -228278.8856757876, -588204.4841452885, 1393787.100115751, -388338.6117750857, -90.22251566952346, -188792.0291012557, -14.918982433349242
464, 292, 229, 71, 344, 228, 335:	-539046.5847570735, -145.62229396932196, -183758.35812868635, 1385668.3363141587, -439015.03671519563, -223631.95289359728, -70.78152563664685
504, 392, 230, 231, 72, 476, 398:	-108.64670947521776, -454595.56992496795, -64381.081836254554, -317284.0423174193, 1403587.76922969, -149.0109408292106, -567069.4175007436
505, 393, 232, 73, 282, 379, 252, 526:	-105.10751652812567, -144017.51354839254, -133578.7808312043, 1403320.4460900864, -128.82934857361246, -328587.07622657466, -502885.93699088314, -294017.2016279302
531, 232, 233, 74, 283, 380, 286, 383:	-385411.00536618126, -118047.53388827111, -126161.18566111296, 1279945.2480863924, -117.89899908750075, -332331.3833278139, -122.16965805906668, -317754.0711858667
384, 514, 387, 233, 234, 75, 509, 287:	-370288.667545049, -327817.213254953, -237412.87417922818, -154053.4412225792, -178008.7919078977, 1267895.8597329014, -176.38780446577385, -138.4838187288791
402, 388, 295, 234, 235, 76, 434, 510:	-647676.7350438666, -552489.9281339158, -81.03664852099244, -99866.64495227762, -94104.68141261017, 1394357.9684884548, -70.27607624190321, -68.66622102184691
237, 310, 488, 330, 236, 554, 77:	-110254.94547529287, -127.90361325409131, -550758.3665825666, -116.07007818950487, -134085.15565866735, -636035.4747338253, 1431377.9161417957
576, 78, 311, 362, 555, 268, 429, 238, 237:	-432398.6598268983, 1328632.3347054948, -93.8963100697159, -64.83543173287498, -246354.9277014347, -17.527501983113922, -310013.7087881633, -153588.76358799145, -186100.01555722122
240, 385, 515, 270, 79, 269, 414, 239:	-803220.6213448877, -456197.63784173154, -449488.279045318, -207969.06494270352, 2850149.780904722, -348105.50382930494, -244348.35229452638, -340820.32160625013
